ETS-ID,City,Name,Net electrical power [MW_el],Heat power [MW_th],CHP,Fuel,Thermal fuel emission factor [t/MWh_th],Emission factor avg. w.o. Heat Seperation [t/MWh_el],Generation elec. avg. [MWh_el],Generation elec. min [MWh_el],Generation elec. max [MWh_el],Emissions avg. [t],Emissions min. [t],Emissions max. [t]
1444,Leipzig,HKW Leipzig-Nord,167,200.000,True,NG,0.201,0.620,360451.011,0.000,574864.000,223424.286,158218.000,304146.000
750,Muenchen,Sued,616,646.000,True,NG,0.201,,,,,,538.000,2528.000
1276,Koeln,HKW Merkenich,110,80.000,True,NG,0.201,5.125,81805.048,0.000,205947.000,419272.143,329476.000,538186.000
1279,Koeln,Niehl,866,678.000,True,NG,0.201,0.392,3685655.885,2630043.783,4962318.000,1443449.571,1059082.000,1762167.000
1746,Saarbruecken,HKW Roemerbrueke,125,141.000,True,NG,0.201,inf,0.000,0.000,0.000,174465.714,149843.000,216629.000
1515,Wolfsburg,HKW West,278,260.000,True,hard coal,0.337,1.090,1468828.000,1086183.000,1688209.000,1600819.571,1310553.000,1797455.000
1291,Petershagen,Heyden,875,0.000,False,hard coal,0.337,1.006,1417546.714,110031.000,3369017.000,1425595.286,323231.000,3004101.000
1486,Duisburg-Huckingen,Huckingen,600,68.000,True,BFG,0.932,1.971,1445811.429,0.000,2321469.000,2850297.143,2351848.000,3221175.000
995,Elsfleth,Huntorf (CAES),321,0.000,False,NG,0.201,0.406,9781.429,1221.000,25579.000,3966.857,726.000,9811.000
1480,Ibbenbueren,Ibbenbueren,791,20.000,True,hard coal,0.337,0.989,1603868.571,0.000,3642853.000,1586087.714,587.000,3863723.000
19,Schwedt,IKS PCK Schwedt,234,212.000,True,crude oil,0.264,2.557,1419662.286,1272213.000,1575984.000,3630665.286,3418710.000,3842978.000
210483,Kiel,Kuestenkraftwerk,190,192.000,True,NG,0.201,,,,,,,
1170,Berlin,Klingenberg,164,590.000,True,NG,0.201,1.307,545666.857,374661.000,642187.000,713318.000,402741.000,1377759.000
1786,Huerth-Knapsack,Knapsack,784,0.000,False,NG,0.201,,,,,,,
202777,Huerth-Knapsack,Knapsack,426,0.000,False,NG,0.201,0.360,1105841.857,570651.000,1743406.000,397711.571,205834.000,613365.000
1309,Rostock,Rostock,514,150.000,True,hard coal,0.337,0.833,2276117.571,1122191.000,3224760.000,1895668.571,911345.000,2636984.000
662,Ludwigshafen,Mitte,412,540.000,True,NG,0.201,0.008,2755624.000,2387659.000,2954330.000,22396.000,0.000,66989.000
1484,Ludwigshafen,Sued,345,420.000,True,NG,0.201,0.564,2199413.429,1619756.000,2554384.000,1241331.571,940698.000,1442015.000
852,Bexbach,Bexbach,726,0.000,False,hard coal,0.337,1.048,500927.989,31504.000,1794053.355,525120.571,37768.000,1843866.000
1238,Bremen,Hafen,300,39.000,True,hard coal,0.337,0.944,836040.143,0.000,1679459.000,789247.571,0.000,1520633.000
839,Ensdorf,Ensdorf,106,0.000,True,hard coal,0.337,,,,,,0.000,63526.000
838,Ensdorf,Ensdorf,283,0.000,False,hard coal,0.337,,,,,,0.000,1078644.000
999,Bremen,Farge,350,26.000,False,hard coal,0.337,0.880,1038574.714,391132.000,1460029.000,913688.286,353086.000,1259810.000
1253,Bremen,Hastedt,119,150.000,True,hard coal,0.337,1.057,679598.000,575460.000,786206.000,718421.429,666521.000,774343.000
